"","x_names","importance","RSimportance","order","rel_imp"
"1400","phenoRange",-62.8460225314091,-1,1,0.290309502008358
"1407","phenoRange",-70.3328466463124,-1,1,0.251214906615961
"1414","phenoRange",-63.6902647047988,-1,1,0.295014225493576
"1421","phenoRange",-59.6413779532271,-1,1,0.28252185679392
"1428","phenoRange",-65.965586182179,-1,1,0.304855418385763
"1435","phenoRange",-70.3571219631492,-1,1,0.227982207914374
"1442","phenoRange",-59.6387234102313,-1,1,0.282548491413211
"1449","phenoRange",-63.039648632939,-1,1,0.290373319782477
"1456","phenoRange",-63.7161844050919,-1,1,0.295019944890299
"1463","phenoRange",-60.2810893249832,-1,1,0.262438613074982
"1470","phenoRange",-60.734823669484,-1,1,0.270252967296906
"1477","phenoRange",-64.0342732962886,-1,1,0.289111892652478
"1484","phenoRange",-59.6395137478907,-1,1,0.282571800491109
"1498","phenoRange",-59.6511509247488,-1,1,0.282639857482607
"1512","phenoRange",-60.7196346749379,-1,1,0.256947312244527
"1519","phenoRange",-59.6435366949155,-1,1,0.282602337732534
"1526","phenoRange",-63.0392666979341,-1,1,0.290280535530055
"1533","phenoRange",-60.7168682041062,-1,1,0.257013059524706
"1540","phenoRange",-60.7131162795678,-1,1,0.256974003775004
"1547","phenoRange",-60.7254808362275,-1,1,0.257018021697653
"1554","phenoRange",-60.7139385830646,-1,1,0.256995581568745
"1561","phenoRange",-42.3242734874682,-1,1,0.12832446698637
"1568","phenoRange",-63.0461152267002,-1,1,0.290367390507561
"1575","phenoRange",-62.850788024555,-1,1,0.290499291819359
"1582","phenoRange",-59.6557513753389,-1,1,0.282546901429122
"1589","phenoRange",-60.7162223297062,-1,1,0.256957234054259
"1596","phenoRange",-63.7042718124694,-1,1,0.294982628373199
"1610","phenoRange",-63.0634380448474,-1,1,0.290569213477791
"1617","phenoRange",-59.6516695047426,-1,1,0.282485743332676
"1624","phenoRange",-60.7069690077412,-1,1,0.25696026654851
"1631","phenoRange",-41.8625059706692,-1,1,0.128725115047171
"1645","phenoRange",-60.2770552619822,-1,1,0.262449765280197
"1652","phenoRange",-60.7209633477601,-1,1,0.257006906493854
"1659","phenoRange",-59.648828577596,-1,1,0.282634827291684
"1673","phenoRange",-60.7086816708988,-1,1,0.256916990238875
"1680","phenoRange",-63.0360451786283,-1,1,0.290404776172402
"1687","phenoRange",-63.0411965916007,-1,1,0.290330704828489
"1694","phenoRange",-64.597612329181,-1,1,0.256755066962931
"1701","phenoRange",-63.0512707393059,-1,1,0.290403471963178
"1708","phenoRange",-62.8442266614463,-1,1,0.290373065416468
"1722","phenoRange",-63.701245269964,-1,1,0.295027337945204
"1729","phenoRange",-62.8476150816354,-1,1,0.290488787028095
"1743","phenoRange",-64.0247829086874,-1,1,0.28910925816099
"1771","phenoRange",-60.0480291792343,-1,1,0.183049719938251
"1778","phenoRange",-59.7492053821186,-1,1,0.282564969734802
"1785","phenoRange",-62.840123064185,-1,1,0.290442513239975
"1792","phenoRange",-65.970997733741,-1,1,0.30482652069812
"1799","phenoRange",-59.633290440109,-1,1,0.282471530246639
"1806","phenoRange",-61.7185617093065,-1,1,0.216749881919862
"1820","phenoRange",-70.9815857261912,-1,1,0.252777289254975
"1827","phenoRange",-64.5940497511979,-1,1,0.256759867255598
"1834","phenoRange",-60.7189107903109,-1,1,0.256997561791644
"1841","phenoRange",-63.040346013049,-1,1,0.290489879855972
"1855","phenoRange",-60.7038664623005,-1,1,0.256958541639452
"1862","phenoRange",-60.2881386889961,-1,1,0.262427549488553
"1869","phenoRange",-65.9643858153116,-1,1,0.304857701154888
"1876","phenoRange",-60.7230583698966,-1,1,0.257012131425848
"1883","phenoRange",-62.8532053445448,-1,1,0.290497559873667
"1890","phenoRange",-65.9646963621045,-1,1,0.30487086349686
"1904","phenoRange",-63.0447454842537,-1,1,0.29044609848999
"1911","phenoRange",-60.2948416043769,-1,1,0.262529107505634
"1918","phenoRange",-60.714156937332,-1,1,0.256990692099727
"1925","phenoRange",-59.5211521724405,-1,1,0.322534422238645
"1932","phenoRange",-63.041677921655,-1,1,0.290409546833093
"1939","phenoRange",-70.3455993571761,-1,1,0.251252198395828
"1946","phenoRange",-60.7040379454648,-1,1,0.256932759039762
"1960","phenoRange",-63.0456700937877,-1,1,0.290348451379889
"1974","phenoRange",-59.64755218521,-1,1,0.282647881873883
"1981","phenoRange",-59.6319429990077,-1,1,0.282583374792869
"1995","phenoRange",-60.3001325941777,-1,1,0.262670019945177
"2002","phenoRange",-63.0411923099573,-1,1,0.290355247449418
"2009","phenoRange",-62.8419536658101,-1,1,0.29045611363574
"2016","phenoRange",-63.685232501123,-1,1,0.295020056350383
"2023","phenoRange",-60.2826700892422,-1,1,0.262449168078813
"2030","phenoRange",-63.6928657412315,-1,1,0.295005986566331
"2037","phenoRange",-60.7186783795896,-1,1,0.257008165214259
"2044","phenoRange",-59.6343593502003,-1,1,0.282507535423126
"2051","phenoRange",-60.7103726548518,-1,1,0.256970591844375
"2058","phenoRange",-62.8496802045022,-1,1,0.290529270205769
"2065","phenoRange",-70.2819057678832,-1,1,0.251476742556463
"2079","phenoRange",-63.0353778969269,-1,1,0.290398809654712
"2093","phenoRange",-59.6459702266766,-1,1,0.282542454495698
"2100","phenoRange",-58.4183235475071,-1,1,0.195644003463494
"2107","phenoRange",-60.7201205074835,-1,1,0.256982448929852
"2114","phenoRange",-63.0466006810812,-1,1,0.290499095331878
"2135","phenoRange",-59.6471978601884,-1,1,0.282567413614691
"2149","phenoRange",-60.3054761360835,-1,1,0.262558519417977
"2156","phenoRange",-63.0552145338478,-1,1,0.290898929855385
"2163","phenoRange",-60.7145854795953,-1,1,0.257008869779283
"2170","phenoRange",-63.0409963180887,-1,1,0.290362121248532
