"","x_names","importance","RSimportance","rank","rel_imp"
"1","ITD",-18.020940768728,-0.235493125954507,2,0.107949028810641
"2","naLatMax",44.9730687924347,0.587696762872446,7,0.126029498731163
"3","naLatMin",-8.29377422374655,-0.108380957630152,6,0.223878809430459
"4","naLongMax",-24.1599010969541,-0.315715517024865,4,0.0889214391727944
"5","naLongMin",23.7427714623948,0.310264571770049,5,0.187357875936466
"6","phenoMean",6.73444509080397,0.0880040363239233,3,0.0970546394102453
"7","phenoRange",76.5242751595617,1,1,0.16880870850823
"8","ITD",-49.5221598700759,-0.650103971361225,2,0.111786948540675
"9","naLatMax",76.175753497373,1,1,0.148135051664089
"10","naLatMin",-27.7020365978196,-0.363659502216475,5,0.0483276323908282
"11","naLongMax",-46.0860790496221,-0.60499669427243,3,0.221460573859714
"12","naLongMin",2.65797183863798,0.0348926228702108,7,0.267437511657713
"13","phenoMean",27.2936532331461,0.358298434607376,6,0.0729514852995088
"14","phenoRange",41.7350389869411,0.547878256148531,4,0.129900796587472
"15","ITD",-19.2752193892265,-0.255234708296543,4,0.0999507905331179
"16","naLatMax",34.6547067325755,0.458883698565577,2,0.104295000066074
"17","naLatMin",-14.6878885932457,-0.194491117578902,6,0.213018744035872
"18","naLongMax",-20.4919579968185,-0.271346271921882,3,0.0966619271057957
"19","naLongMin",17.8219293780327,0.235990826056497,5,0.217911189095134
"20","phenoMean",6.81277201897441,0.0902119889709626,7,0.0816460609831385
"21","phenoRange",75.5195855527285,1,1,0.186516288180867
"22","ITD",-17.469992010618,-0.2138818039196,5,0.130365375682078
"23","naLatMax",55.5788532224684,0.680441375117933,2,0.138684582861065
"24","naLatMin",-5.18393532527002,-0.0634659385131607,7,0.203607618619031
"25","naLongMax",-33.8288353549315,-0.414160025134204,3,0.0901715004992396
"26","naLongMin",21.349116271079,0.261373187656435,4,0.198231460895998
"27","phenoMean",15.7115436592926,0.192353453749071,6,0.0592701197911625
"28","phenoRange",81.680590356275,1,1,0.179669341651426
"29","ITD",-49.5242182586172,-0.650190907215748,2,0.111696433358003
"30","naLatMax",76.1687339964352,1,1,0.148065584870517
"31","naLatMin",-27.7108246194003,-0.363808391783133,5,0.0481394247724756
"32","naLongMax",-46.0804382724337,-0.604978392769274,3,0.221661998673816
"33","naLongMin",2.64483286794188,0.0347233402627601,7,0.267596332620486
"34","phenoMean",27.3050898044446,0.358481602250636,6,0.0730170387247455
"35","phenoRange",41.74408457159,0.548047504288882,4,0.129823186979957
"36","ITD",-23.901125579467,-0.372458604081689,3,0.0843653497237697
"37","naLatMax",34.9855854129417,0.545191156900133,2,0.115868100005927
"38","naLatMin",-13.9317870583364,-0.21710333025358,5,0.226505268509393
"39","naLongMax",-21.0799713957251,-0.328495689210498,4,0.109490455494253
"40","naLongMin",0.570403530819263,0.00888877396781356,7,0.219456749893096
"41","phenoMean",2.51258118279989,0.0391543267230696,6,0.0866408418613905
"42","phenoRange",64.1712268626366,1,1,0.15767323451217
"43","ITD",-10.5282138778873,-0.264765132611372,5,0.179715616515767
"44","naLatMax",35.5395815484207,0.893754831613328,2,0.0781521985035618
"45","naLatMin",-5.64374807489669,-0.141929839648646,7,0.223862093705254
"46","naLongMax",-31.9035830186627,-0.802316184557717,3,0.119827467776462
"47","naLongMin",17.1927211790122,0.432365181379175,4,0.101729148662957
"48","phenoMean",-7.947990730356,-0.199877286320758,6,0.129617034827899
"49","phenoRange",39.764351801341,1,1,0.167096440008098
"50","ITD",-10.5183200207228,-0.264339222459348,5,0.179727800579731
"51","naLatMax",35.5380171664112,0.893117133440339,2,0.0781506135982626
"52","naLatMin",-5.63731744790435,-0.14167320522666,7,0.223843052245195
"53","naLongMax",-31.9012099753678,-0.801719383303344,3,0.119822417713667
"54","naLongMin",17.2011793681069,0.432288271377075,4,0.101752428341126
"55","phenoMean",-7.94396790561489,-0.199642366392646,6,0.129614204124697
"56","phenoRange",39.7909925090304,1,1,0.167089483397321
"57","ITD",-4.38409111422094,-0.100286694950578,6,0.181501668471864
"58","naLatMax",43.7155807794987,1,1,0.137533634281379
"59","naLatMin",-18.6189805266953,-0.425911773209864,4,0.123223204367388
"60","naLongMax",-35.6509734155446,-0.815520983133406,2,0.176223210532543
"61","naLongMin",25.5438135415392,0.584318293067685,3,0.110936703106584
"62","phenoMean",-6.96735946332214,-0.159379318290783,5,0.0796246362298703
"63","phenoRange",2.08398376883626,0.0476714190152905,7,0.190956943010371
"64","ITD",-19.2675539644384,-0.233333382488441,4,0.140298729433424
"65","naLatMax",52.4328077997951,0.634970293576081,2,0.113463200691166
"66","naLatMin",-9.11288046926872,-0.110358545149625,7,0.237201934056828
"67","naLongMax",-32.4618135087438,-0.393118128107181,3,0.0863415637288695
"68","naLongMin",18.7400233320964,0.226944896070402,5,0.167883486529984
"69","phenoMean",15.7182250950348,0.190350401244927,6,0.0476133608905644
"70","phenoRange",82.5752138804784,1,1,0.207197724669165
"71","ITD",-4.91352068426513,-0.0874175395127604,7,0.105509047740502
"72","naLatMax",54.3113697925472,0.966265661613311,2,0.111660089026676
"73","naLatMin",21.5092432385674,0.382675731216191,3,0.206142512826822
"74","naLongMax",-14.1308927930339,-0.251405857116153,5,0.146506294248406
"75","naLongMin",8.20318601638479,0.145944707226788,6,0.135437821941347
"76","phenoMean",-19.5356479606242,-0.347563058597495,4,0.124757545681147
"77","phenoRange",56.2074923596757,1,1,0.169986688535099
"78","ITD",-4.56618312846908,-0.0824589026022426,7,0.104216256211704
"79","naLatMax",54.3855261235085,0.982126795053371,2,0.109647479265006
