"","x_names","importance","RSimportance","order","rel_imp"
"1","ITD",-12.4382891912792,-0.386388555303617,2,0.159430733237844
"2","naLatMax",6.5799490104719,0.204402466692145,6,0.149279650148525
"3","naLatMin",-21.1767446347263,-0.657843827202735,1,0.21959403751406
"4","naLongMax",1.82338365722321,0.0566424020413251,4,0.0656597436355743
"5","naLongMin",32.1911428807859,1,7,0.119678545535156
"6","phenoMean",-9.44853298897341,-0.293513437033421,3,0.12424170803631
"7","phenoRange",2.43588599558999,0.0756694474815902,5,0.162115581892531
"8","ITD",-13.3744511907063,-0.418555310131848,1,0.266730367954865
"9","naLatMax",25.8257920873949,0.808221755226229,6,0.163627036290059
"10","naLatMin",-4.47136645563494,-0.139932035106749,3,0.0675494205311281
"11","naLongMax",-6.49211207517596,-0.203171550315589,2,0.216226633287108
"12","naLongMin",31.9538442517748,1,7,0.0714414814266096
"13","phenoMean",-0.276746773622461,-0.00866082877045664,4,0.0659425489032933
"14","phenoRange",1.29123163188871,0.0404092735044545,5,0.148482511606936
"15","ITD",0.305610572746581,0.00903166740674036,4,0.191781642391835
"16","naLatMax",-2.0213709808145,-0.0597372997939167,3,0.142389379994814
"17","naLatMin",-15.8150618224683,-0.467380356359642,1,0.233987726976879
"18","naLongMax",1.18888037714784,0.0351348189831875,5,0.0929990438432456
"19","naLongMin",33.8376690574879,1,7,0.0952547242913333
"20","phenoMean",-6.33260673846132,-0.187146659768516,2,0.128964934927364
"21","phenoRange",9.6039764112832,0.283824999735256,6,0.114622547574528
"22","ITD",-22.3691610674998,-1,1,0.244362791287885
"23","naLatMax",6.10922173079821,0.273109112691504,5,0.0962013964005362
"24","naLatMin",5.39247116835193,0.241067206413326,4,0.126776542218435
"25","naLongMax",10.4096962558843,0.465359260656788,6,0.235567202228151
"26","naLongMin",17.7077670271181,0.791615160429316,7,0.137921355980073
"27","phenoMean",3.01252132053699,0.134672968353466,3,0.0638879469910141
"28","phenoRange",0.790482384256295,0.0353380433835218,2,0.0952827648939055
"29","ITD",-67.0428403509594,-1,1,0.182682233216278
"30","naLatMax",39.8439053960967,0.594305151564577,7,0.256216990456286
"31","naLatMin",-6.51651494331095,-0.0971992670536921,2,0.0714465650679057
"32","naLongMax",8.32095285787103,0.12411396674592,4,0.14146865498361
"33","naLongMin",30.3473972056248,0.452656794472916,6,0.13774601039361
"34","phenoMean",-0.0232008573633697,-0.000346060179460128,3,0.106547590250969
"35","phenoRange",17.0716121624321,0.254637364304148,5,0.103891955631341
"36","ITD",-47.2699040845877,-1,1,0.205108001475389
"37","naLatMax",24.5808192995461,0.520009925460387,7,0.265285595239595
"38","naLatMin",-2.9770328374456,-0.0629794558524662,2,0.0768108547950368
"39","naLongMax",15.8985689905088,0.336335968908652,6,0.109524667491578
"40","naLongMin",3.35147348064465,0.0709007886846421,4,0.206636849256842
"41","phenoMean",2.00240632400236,0.0423611251763729,3,0.0535349929536749
"42","phenoRange",7.36978859915881,0.155908685280403,5,0.0830990387878841
"43","ITD",-12.4332324655377,-0.386272771635941,2,0.159431598757038
"44","naLatMax",6.57073481173613,0.204138059386338,6,0.149264383110896
"45","naLatMin",-21.1783283557395,-0.657963374791106,1,0.219618394252362
"46","naLongMax",1.82832873361324,0.05680209143937,4,0.0656396374019474
"47","naLongMin",32.1877009681022,1,7,0.119681647837361
"48","phenoMean",-9.44717019872852,-0.293502484321282,3,0.124248602320771
"49","phenoRange",2.43507025272693,0.0756521956986016,5,0.162115736319625
"50","ITD",-15.2670871119943,-0.509718660811786,2,0.162346772110582
"51","naLatMax",10.0807607500337,0.336563997557486,6,0.151673644460171
"52","naLatMin",-21.2304598647885,-0.708816389879416,1,0.200989654526827
"53","naLongMax",4.61474978907733,0.154071570117786,5,0.0744692172577361
"54","naLongMin",29.9519878037812,1,7,0.128619612813032
"55","phenoMean",-10.1075701224176,-0.337459075792681,3,0.116012696090107
"56","phenoRange",2.76930515149682,0.0924581423322835,4,0.165888402741545
"57","ITD",-6.04421392818943,-0.151822482422659,5,0.184320877291562
"58","naLatMax",-39.8110598097251,-1,1,0.153399767914346
"59","naLatMin",-16.4202921741439,-0.412455540059064,2,0.266213005757607
"60","naLongMax",19.5590277926226,0.491296335392826,6,0.043704786374804
"61","naLongMin",19.57948656554,0.491810232109348,7,0.0782962207742478
"62","phenoMean",-12.8228895298671,-0.322093649130505,4,0.0721544989851582
"63","phenoRange",-13.7303958919784,-0.34488898204675,3,0.201910842902275
"64","ITD",-10.3671230227072,-0.545706084132793,1,0.168721213770458
"65","naLatMax",-1.54473471078152,-0.0813119636178923,4,0.172646913912389
"66","naLatMin",-7.04931473764813,-0.371062823589122,2,0.198224185112309
"67","naLongMax",-6.8501823595518,-0.360580865379793,3,0.129436424246963
"68","naLongMin",18.9976313699748,1,7,0.121563122092473
"69","phenoMean",5.04727791931009,0.265679327123232,5,0.0811996399047925
"70","phenoRange",14.6010308697597,0.768571122652492,6,0.128208500960615
"71","ITD",-11.7438442290742,-0.361830963629114,3,0.203507069700394
"72","naLatMax",-32.4567143488358,-1,1,0.138959476127147
"73","naLatMin",-13.4476943659121,-0.414327039434121,2,0.235622321490138
"74","naLongMax",18.7422675835209,0.577454248205292,7,0.0499953190829128
"75","naLongMin",13.3326897917333,0.410783717921576,6,0.0978936043851704
"76","phenoMean",-7.57121359025338,-0.233271104058164,5,0.0846028017145787
"77","phenoRange",-11.2240279735008,-0.345815286564993,4,0.189419407499658
"78","ITD",-49.8960680452957,-1,1,0.144855644086781
