"","x_names","importance","RSimportance","rank","absrank","iter","rel_imp"
"1473","polyC1",-76.2852537660785,-1,1,1,134,0.0578523168959545
"1484","polyC1",-150.303810550736,-1,1,1,135,0.0892230669111012
"1506","polyC1",-167.693578642699,-1,1,1,137,0.113044799831861
"1539","polyC1",-123.553946882281,-1,1,1,140,0.1079378704201
"1550","polyC1",-86.3585366928388,-1,1,1,141,0.118402527273642
"1561","polyC1",-162.469668848872,-1,1,1,142,0.108014642097252
"1605","polyC1",-82.3314067765818,-1,1,1,146,0.0871977599673736
"1612","naLongMin",-133.612095606851,-1,1,1,147,0.126994181244984
"1638","polyC1",-85.1694803831193,-1,1,1,149,0.128190404699381
"1649","polyC1",-161.69770216141,-1,1,1,150,0.107697899872234
"1660","polyC1",-111.992015889476,-1,1,1,151,0.105604364673577
"1671","polyC1",-144.407882140716,-1,1,1,152,0.0963796475270175
"1682","polyC1",-131.097148966121,-1,1,1,153,0.106336251722857
"1703","phenoRange",-143.152410441129,-1,1,1,155,0.169836737454657
"1710","naLongMax",-102.354037276503,-1,1,1,156,0.11572987494075
"1726","polyC1",-144.913043974301,-1,1,1,157,0.124014788778395
"1748","polyC1",-157.95303837786,-1,1,1,159,0.10035523722117
"1759","polyC1",-141.450984810555,-1,1,1,160,0.153162876592841
"1770","polyC1",-159.112167943717,-1,1,1,161,0.0784839382532726
"1781","polyC1",-136.029238388873,-1,1,1,162,0.141714984652267
"1803","polyC1",-125.139855103642,-1,1,1,164,0.0777604884513821
"1836","polyC1",-122.425077665887,-1,1,1,167,0.0843286849269731
"1847","polyC1",-88.4639370416968,-1,1,1,168,0.096890092555281
"1853","naLongMax",-93.4462174007794,-1,1,1,169,0.0828695065787906
"1886","naLongMax",-184.474629211838,-1,1,1,172,0.127180202744326
"1902","polyC1",-111.580498483691,-1,1,1,173,0.137278773825429
"1913","polyC1",-168.881587841017,-1,1,1,174,0.126620095826868
"1946","polyC1",-89.6641590193879,-1,1,1,177,0.0787869959915227
"1985","naLongMax",-80.0542033601565,-1,1,1,181,0.125470341791806
"2012","polyC1",-89.7526651214871,-1,1,1,183,0.115200196853013
"2018","naLongMax",-114.78023058028,-1,1,1,184,0.100132361090155
"2045","polyC1",-122.080070220142,-1,1,1,186,0.085114378056733
"2067","polyC1",-76.0369614365204,-1,1,1,188,0.0863534743434567
"2078","polyC1",-143.848287079878,-1,1,1,189,0.119179781363138
"2089","polyC1",-146.657352416562,-1,1,1,190,0.122428573533058
"2095","naLongMax",-99.0631514376248,-1,1,1,191,0.100521970157911
"2122","polyC1",-120.645302743083,-1,1,1,193,0.15952464181788
"2144","polyC1",-138.402575875326,-1,1,1,195,0.0799411634886336
"2166","polyC1",-105.550305261797,-1,1,1,197,0.0610656448397516
"2177","polyC1",-155.663047825394,-1,1,1,198,0.114834536269266
"2249","naLongMax",-110.36359733759,-1,1,1,205,0.148000036415321
"2282","naLongMax",-106.189567532081,-1,1,1,208,0.112598869810136
"2309","polyC1",-125.604989714505,-1,1,1,210,0.061408315951272
"2315","naLongMax",-82.4801884995233,-1,1,1,211,0.0615784334007138
"2358","naLatMin",-105.940645615738,-1,1,1,215,0.117428360945865
"2414","naLongMax",-71.6755552058179,-1,1,1,220,0.134683307378176
"2441","polyC1",-96.4249039562992,-1,1,1,222,0.0607359237509822
"2447","naLongMax",-120.758386534444,-1,1,1,223,0.149343411550975
"2463","polyC1",-115.476662618872,-1,1,1,224,0.0661208401114513
"2485","polyC1",-90.5061546103783,-1,1,1,226,0.0485129487608909
"2507","polyC1",-135.200145984254,-1,1,1,228,0.152442197229825
"2512","naLatMin",-92.4396391738582,-1,1,1,229,0.161118074378059
"2529","polyC1",-113.493261553293,-1,1,1,230,0.0958299245006368
"2579","naLongMax",-92.3610140309105,-1,1,1,235,0.0785304689142374
"2623","naLongMax",-84.1692829313669,-1,1,1,239,0.109190167282768
"2639","polyC1",-210.743009335973,-1,1,1,240,0.0879701703798615
"2683","polyC1",-87.5453916333561,-1,1,1,244,0.0548596532489029
"2689","naLongMax",-88.1999967692132,-1,1,1,245,0.0741189756460466
"2704","phenoRange",-89.154975187245,-1,1,1,246,0.098615367938855
"2738","polyC1",-87.7318902267316,-1,1,1,249,0.121293108719173
"2742","naLatMax",-118.266099433696,-1,1,1,250,0.0988296733721843
"2759","phenoRange",-118.854287346846,-1,1,1,251,0.0950547868536636
"2771","polyC1",-55.4476213249269,-1,1,1,252,0.0563252445301223
"2792","phenoRange",-74.2106809126089,-1,1,1,254,0.0835718891705679
"2804","polyC1",-96.5831979031177,-1,1,1,255,0.135536824528207
