"","X","NewID","GenusSpecies","Month","Day","Year","Collector","Notes","Dietary_specialization","Sociality","Nest_location","Superfamily","Family","Subfamily","Genus","Voltinism","n_rec","allCentLong","allCentLat","MaxLat","MinLat","MidLat","latRange","MaxLong","MinLong","MidLong","longRange","lat_q10","lat_q90","long_q10","long_q90","latSkew","latKurt","longSkew","longKurt","nn_rec","cont_hull_area","nnCentLong","nnCentLat","nnLatMax","nnLatMin","nnLatMid","nnLatRange","nnLat_q10","nnLongMax","nnLongMin","nnLongMid","nnLongRange","nnLong_q10","nnLong_q90","na_rec","na_hull_area","naCentLong","naCentLat","naLatMax","naLatMin","naLatMid","naLatRange","naLat_q10","naLongMax","naLongMin","naLongMid","naLongRange","naLong_q10","naLong_q90","pheno_q10","pheno_q90","phenoMean","phenoRange","phenoSkew","phenoKurt","nnLat_q90","nnLatSkew","nnLongSkew","nnLatKurt","nnLongKurt","naLat_q90","naLatKurt","naLongKurt","naLatSkew","naLongSkew","bin","extinct","ITD","ITsource","forageD","probL"
"11",11,"9ev1972","Agapostemon splendens",8,10,1972,"Evans","9ev1972-Agapostemon_splendens-8-10-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"12",12,"10ev1972","Agapostemon texanus",8,16,1972,"Evans","10ev1972-Agapostemon_texanus-8-16-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"13",13,"11ev1972","Agapostemon texanus",8,30,1972,"Evans","11ev1972-Agapostemon_texanus-8-30-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"14",14,"12ev1973","Agapostemon texanus",9,18,1973,"Evans","12ev1973-Agapostemon_texanus-9-18-1973-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"15",15,"13ev1973.1","Agapostemon texanus",5,9,1973,"Evans","13ev1973-Agapostemon_texanus-5-9-1973-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"16",16,"13ev1973.2","Agapostemon texanus",5,9,1973,"Evans","13ev1973-Agapostemon_texanus-5-9-1973-s2","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"17",17,"14ev1973","Agapostemon texanus",5,18,1973,"Evans","14ev1973-Agapostemon_texanus-5-18-1973-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"18",18,"15ev1973","Agapostemon texanus",5,2,1973,"Evans","15ev1973-Agapostemon_texanus-5-2-1973-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"19",19,"16ev1973","Agapostemon texanus",6,1,1973,"Evans","16ev1973-Agapostemon_texanus-6-1-1973-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
"20",20,"17ev1973","Agapostemon texanus",6,4,1973,"Evans","17ev1973-Agapostemon_texanus-6-4-1973-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",7617,-103.6542394,39.0252372,52.1333,9.9971,31.0652,42.1362,36.1588,-124.170442,-44.005821,160.329242,30.2997,44.31254,-121.9746252,-75.5204,-0.968913193,4.958624569,0.743613469,2.917278747,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,2865,14351123,-102.2858092,39.17830088,52.1333,9.9971,31.0652,42.1362,29.89876,-69.9721,-124.170442,-97.071271,54.198342,-121.975102,-75.56616,138,266,197.2711235,128,0.021528522,2.314538003,44.5294868,-1.153102134,0.497287165,5.140392784,1.812898792,44.5294868,5.140392784,1.812898792,-1.153102134,0.497287165,3,0,1.783655067,"Gibbs",0.304027168,2.38510719
