"","x_names","importance","RSimportance","order","rel_imp"
"385","phenoRange",-115.307015709394,-1,1,0.195221310193182
"387","naLatMax",-122.097563229917,-1,1,0.238525729563044
"397","naLongMin",-58.1167952118309,-1,1,0.153607950061761
"413","phenoRange",-111.042012142007,-1,1,0.155666828065735
"415","naLatMax",-86.1246816862694,-1,1,0.15217319865416
"436","naLatMax",-103.854990919292,-1,1,0.140579263773004
"443","naLatMax",-57.0431245020649,-1,1,0.122897832713547
"452","naLongMax",-46.0291843264543,-1,1,0.15615674534285
"467","naLongMin",-40.905352997204,-1,1,0.114685318993858
"476","phenoRange",-117.153110770029,-1,1,0.203161994361397
"483","phenoRange",-139.568759713585,-1,1,0.181758548439713
"497","phenoRange",-95.0366099006304,-1,1,0.113976388277603
"511","phenoRange",-113.265994309056,-1,1,0.203409525259053
"513","naLatMax",-87.9044153145968,-1,1,0.173974753427577
"525","phenoRange",-55.2624796392644,-1,1,0.140451642182489
"532","phenoRange",-102.594735709465,-1,1,0.20418926665575
"539","phenoRange",-92.5584721255059,-1,1,0.134062035036108
"551","naLongMin",-65.1126173593119,-1,1,0.184916020724679
"558","naLongMin",-109.421214390806,-1,1,0.171878873061576
"567","phenoRange",-91.9137332721184,-1,1,0.134574263789911
"574","phenoRange",-123.799070683375,-1,1,0.218393206097941
"576","naLatMax",-91.570858167446,-1,1,0.143941122194182
"585","naLongMax",-56.8261648264807,-1,1,0.1478633343576
"595","phenoRange",-107.7325633501,-1,1,0.183645720973398
"606","naLongMax",-77.0114282381156,-1,1,0.120801202732667
"613","naLongMax",-43.8058092574042,-1,1,0.260853608005522
"618","naLatMax",-85.284696067009,-1,1,0.120040567984096
"628","naLongMin",-53.3538785960995,-1,1,0.0833257673105889
"637","phenoRange",-69.5405927859083,-1,1,0.142438243132033
"644","phenoRange",-118.557888216638,-1,1,0.203531607324758
"665","phenoRange",-88.207779169423,-1,1,0.145131970091734
"681","naLatMax",-78.8409732275744,-1,1,0.133099780290387
"693","phenoRange",-134.694457254283,-1,1,0.173712839686079
"700","phenoRange",-90.4808611255012,-1,1,0.162070554618984
"705","naLongMin",-47.0206486694086,-1,1,0.0904243982013145
"714","phenoRange",-86.2467743146843,-1,1,0.196613965750193
"721","phenoRange",-78.7278415017899,-1,1,0.220004792855476
"728","phenoRange",-75.8528562676994,-1,1,0.0952623897148596
"735","phenoRange",-120.641516823453,-1,1,0.242388396390783
"746","naLongMax",-51.3274830087812,-1,1,0.145418885900568
"765","naLatMax",-75.7527439161875,-1,1,0.196511090511271
"781","naLongMax",-81.9919553296756,-1,1,0.179889438329362
"788","naLongMax",-49.5240628829143,-1,1,0.240637780654697
"806","ITD",-70.6995533236012,-1,1,0.255289154072292
"826","phenoRange",-80.9679865857069,-1,1,0.145970176948103
"840","phenoRange",-111.042289919668,-1,1,0.155659557168517
"845","naLongMin",-107.816999830391,-1,1,0.136787916233446
"851","naLongMax",-51.3485299623993,-1,1,0.145425310642227
"861","phenoRange",-141.861144875154,-1,1,0.202544178033632
"882","phenoRange",-106.164525639334,-1,1,0.21944164742382
"886","naLongMax",-50.171319602009,-1,1,0.156941556503128
"891","naLatMax",-83.54220298738,-1,1,0.174001179458984
"910","phenoRange",-129.881734044923,-1,1,0.192634420902565
"924","phenoRange",-95.1089313698808,-1,1,0.207437157613244
"928","naLongMax",-49.2613076332321,-1,1,0.146459134646851
"938","phenoRange",-92.5419061930237,-1,1,0.134034954287924
"940","naLatMax",-91.1033881929908,-1,1,0.18305763950345
"949","naLongMax",-75.6315556354128,-1,1,0.19603887317405
"956","naLongMax",-89.1103106911026,-1,1,0.119016047336656
"961","naLatMax",-103.874298161284,-1,1,0.140591697028113
"973","phenoRange",-89.3235281096859,-1,1,0.166428951773759
"978","naLongMin",-96.5400514791954,-1,1,0.0811126899895969
"983","naLatMin",-87.1431153136655,-1,1,0.195088824610284
"994","phenoRange",-117.144727227565,-1,1,0.203141139082809
"1019","naLongMax",-50.1998282413732,-1,1,0.206091556258815
"1043","phenoRange",-72.5618048655969,-1,1,0.142206106533645
"1045","naLatMax",-81.7301403120943,-1,1,0.139878679791346
"1061","naLongMax",-51.4345013688394,-1,1,0.157587147921795
"1071","phenoRange",-90.8343558230057,-1,1,0.198117981697896
"1079","ITD",-69.9369205908271,-1,1,0.255674867442056
"1087","naLatMax",-84.2185331985128,-1,1,0.141846246449762
"1099","phenoRange",-113.255922897746,-1,1,0.203418455673803
"1104","naLongMin",-53.0082917338867,-1,1,0.0835870359620767
"1127","phenoRange",-118.532271549444,-1,1,0.20351274106284
"1134","phenoRange",-140.513567370785,-1,1,0.217258652352383
"1148","phenoRange",-106.330710063771,-1,1,0.197953545190507
"1155","phenoRange",-112.683323197382,-1,1,0.157086500310405
"1169","phenoRange",-69.2664385130958,-1,1,0.142454651909273
"1170","ITD",-50.1502387711458,-1,1,0.160806998576445
"1190","phenoRange",-97.652389398388,-1,1,0.136906929684719
"1197","phenoRange",-117.255073810974,-1,1,0.204147475612135
"1204","phenoRange",-92.2040254497722,-1,1,0.182607609359706
"1208","naLongMax",-51.5538784610069,-1,1,0.145419037194374
"1239","phenoRange",-110.482473546656,-1,1,0.204237063014086
"1246","phenoRange",-75.9903677157633,-1,1,0.153841906807683
"1249","naLatMin",-99.4867738314819,-1,1,0.218171728220033
"1267","phenoRange",-87.7895738572113,-1,1,0.15180859206966
"1274","phenoRange",-87.8286824270583,-1,1,0.15171089271625
"1282","ITD",-70.719070323345,-1,1,0.255309672938426
"1302","phenoRange",-100.847703444245,-1,1,0.198057662612397
"1309","phenoRange",-96.7820418652418,-1,1,0.150268013627176
"1316","phenoRange",-133.638106288784,-1,1,0.222093794080033
"1323","phenoRange",-102.475505494215,-1,1,0.204091949105533
"1333","naLatMin",-99.536529168959,-1,1,0.218410127063804
"1340","naLatMin",-74.6900037360241,-1,1,0.193819472408038
"1348","naLongMax",-46.3541845084243,-1,1,0.0630181083841179
"1358","phenoRange",-101.974266952911,-1,1,0.198771822864909
"1365","phenoRange",-112.667677089086,-1,1,0.155368857943036
"1372","phenoRange",-110.627034347951,-1,1,0.205072247111856
"1380","ITD",-82.2371082218849,-1,1,0.228882386972045
"1393","phenoRange",-50.5111361235165,-1,1,0.149759054181001
"1395","naLatMax",-102.554176220815,-1,1,0.155375998193024
"1407","phenoRange",-95.0971383988629,-1,1,0.201800788062902
"1414","phenoRange",-117.253265638604,-1,1,0.204136092518168
